measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Latin America & Caribbean - WB,Male,<5 years,All causes,Number,1990,350945.88529942976,372611.162421511,330497.0562765419
Deaths,Latin America & Caribbean - WB,Female,<5 years,All causes,Number,1990,284475.0714478516,299994.7480299418,269988.28027997265
Deaths,Latin America & Caribbean - WB,Male,5-19 years,All causes,Number,1990,74537.44567563794,76128.16316491988,72909.21164779167
Deaths,Latin America & Caribbean - WB,Female,5-19 years,All causes,Number,1990,42860.03558459939,43766.89223471134,41923.21225844157
Deaths,Latin America & Caribbean - WB,Male,55+ years,All causes,Number,1990,748895.826808202,756638.8017325577,742282.4242403677
Deaths,Latin America & Caribbean - WB,Female,55+ years,All causes,Number,1990,652279.7932213651,657382.183395194,647072.292449858
Deaths,Latin America & Caribbean - WB,Male,20-54 years,All causes,Number,1990,393890.3204885692,398712.6659655402,389573.79357469577
Deaths,Latin America & Caribbean - WB,Female,20-54 years,All causes,Number,1990,194207.55302628293,197355.21434081078,190857.47291343738
Deaths,South Asia - WB,Male,<5 years,All causes,Number,1990,2076486.5457712596,2257754.4907231918,1905503.0991145233
Deaths,South Asia - WB,Female,<5 years,All causes,Number,1990,2019216.4367428008,2189593.3767162906,1866091.6640930062
Deaths,South Asia - WB,Male,5-19 years,All causes,Number,1990,365142.8957785035,382355.2755355071,348575.78835298604
Deaths,South Asia - WB,Female,5-19 years,All causes,Number,1990,394470.5534376047,411156.9009542023,378643.45350231323
Deaths,South Asia - WB,Male,55+ years,All causes,Number,1990,2360751.14501985,2504424.643387145,2228544.936496601
Deaths,South Asia - WB,Female,55+ years,All causes,Number,1990,1847774.9737484134,1945386.2671401026,1753708.4350745634
Deaths,South Asia - WB,Male,20-54 years,All causes,Number,1990,1149979.3706886624,1229365.8365975507,1078410.0128520513
Deaths,South Asia - WB,Female,20-54 years,All causes,Number,1990,900134.1287951006,972376.8365889098,833815.7911509533
Deaths,East Asia & Pacific - WB,Male,<5 years,All causes,Number,1990,1276394.4875224181,1391051.7894975636,1165845.009185948
Deaths,East Asia & Pacific - WB,Female,<5 years,All causes,Number,1990,1059467.0218908156,1134304.870162788,987363.6712975029
Deaths,East Asia & Pacific - WB,Male,5-19 years,All causes,Number,1990,294855.5024554867,312833.2669378158,276571.2481577538
Deaths,East Asia & Pacific - WB,Female,5-19 years,All causes,Number,1990,181844.89968410163,196469.52746666397,170641.78003755453
Deaths,East Asia & Pacific - WB,Male,55+ years,All causes,Number,1990,4123900.0217910493,4532667.980561749,3719349.209887005
Deaths,East Asia & Pacific - WB,Female,55+ years,All causes,Number,1990,3772473.7091548676,4048605.691323632,3462016.426589705
Deaths,East Asia & Pacific - WB,Male,20-54 years,All causes,Number,1990,1521255.5730645384,1693957.6994745939,1361718.809308121
Deaths,East Asia & Pacific - WB,Female,20-54 years,All causes,Number,1990,926176.1939824347,1047390.9592029029,812770.121608094
Deaths,Sub-Saharan Africa - WB,Male,<5 years,All causes,Number,1990,2080848.5328836914,2206710.3913594047,1955836.2146765736
Deaths,Sub-Saharan Africa - WB,Female,<5 years,All causes,Number,1990,1795371.1945010975,1874804.4580587726,1714727.9266112933
Deaths,Sub-Saharan Africa - WB,Male,5-19 years,All causes,Number,1990,198408.3597062329,210935.4062818574,185965.55598917734
Deaths,Sub-Saharan Africa - WB,Female,5-19 years,All causes,Number,1990,157802.4017454984,168207.29227230814,147624.33842861105
Deaths,Sub-Saharan Africa - WB,Male,55+ years,All causes,Number,1990,928960.7666756494,982482.49276584,875179.902027546
Deaths,Sub-Saharan Africa - WB,Female,55+ years,All causes,Number,1990,756861.7272382647,795250.5877030086,721691.5634633667
Deaths,Sub-Saharan Africa - WB,Male,20-54 years,All causes,Number,1990,631178.7243135815,691274.4308118266,581072.9083404792
Deaths,Sub-Saharan Africa - WB,Female,20-54 years,All causes,Number,1990,532801.648874848,598784.0646964893,479978.6401349877
Deaths,Europe & Central Asia - WB,Male,<5 years,All causes,Number,1990,206299.56349091322,220758.46298135453,192768.9082746941
Deaths,Europe & Central Asia - WB,Female,<5 years,All causes,Number,1990,160403.51150174552,170090.83929250276,151480.02835003127
Deaths,Europe & Central Asia - WB,Male,5-19 years,All causes,Number,1990,65297.6839131362,66408.63914515052,64233.86247017845
Deaths,Europe & Central Asia - WB,Female,5-19 years,All causes,Number,1990,33027.30230494991,33488.008872452614,32595.943823303463
Deaths,Europe & Central Asia - WB,Male,55+ years,All causes,Number,1990,3180692.5553952176,3194874.785867321,3164903.427898764
